"Nome da instituição/unidade";"Tipo de Logradouro";"Nome do Logradouro";"Número no Logradouro";"Complemento";"Bairro";"CEP";"Estado";"Municipio";"Latitude";"Longitude";"Telefone 1";"Telefone 2";"E-mail ";"Público atendido pela instituição";"A instituição atende algum outro público específico?";"Qual?";"Sexo do público atendido";"Modalidade de internação";;
"PROJETO ÁGUAS DE MERIBÁ";"Avenida";"MACAÚBA";0;"CHÁCARA ACAMBAGO";"JARDIM DAS OLIVEIRAS II";"74605-110";"Goiás";"Senador Canedo - Goiás";"-16,6538436973";"-49,1562133002";"(62) 3208-7022";;"ctmeriba@gmail.com";"Adultos - Idosos";"Não";;"Feminino";"Voluntária";;
"Casa de Rute";"Rua";"Nolasco das Neves";"S/N";"Quadra 54 Lote 20";"Vila Bom Jardim";"65930-000";"Maranhão";"Açailândia - Maranhão";"-4,9377377682";"-47,4929607079";"(99) 3592-2912";;"casaderute@hotmail.com";"Adultos - Idosos";"Não";;"Feminino";"Voluntária - Compulsória";;
"Comunidade Bom Samaritano";"Avenida";"Santa Luzia";"S/N";"BR 222/Sentido Açailandia - São Luis";"Vila Tancredo";"65930-000";"Maranhão";"Açailândia - Maranhão";"-4,9564595418";"-47,4906319195";"(99) 3538-0024";"(99) 3538-6912";"comunidade.bom.samaritano@hotmail.com";"Adultos - Idosos";"Sim";"Filhos de Dependentes em casa de Apoio";"Masculino";"Voluntária - Compulsória";;
"Associação Comunitária Bom Samaritano";"Rua";"Pernambuco";14;;"Getat";"65930-000";"Maranhão";"Açailândia - Maranhão";"-4,9505127568";"-47,491774316";"(99) 3538-6912";"(99) 9172-0194";"comunidade.bom.samaritano@hotmail.com";"Adultos - Idosos";"Sim";"Crianças através de um programa vinculado à associação";"Masculino";"Voluntária";;
"Fundação Iremice Carreiro Sucupira";"Estrada";"MA-122";"S/N";"Km 01 - Fazenda Avarandado";"Avarandado";"65923-000";"Maranhão";"Amarante do Maranhão - Maranhão";"-5,490369111";"-46,7579222565";"(99) 3532-2052";;;"Adultos - Idosos";"Não";;"Masculino";"Voluntária - Compulsória";;
"Fazenda da Esperança - Balsas/Maranhão";"Estrada";"Para o Riachão";"S/N";"Povoado Angelim";"Zona Rural";"65800-000";"Maranhão";"Balsas - Maranhão";"-7,6790232384";"-46,0884143281";"(99) 8820-6222";;"dalfas.m@fazenda.org.br";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Fazenda da Esperança";"Praça";"Roosevelt Cury";2;"Praça do Hospital São José";"Centro";"65800-000";"Maranhão";"Balsas - Maranhão";"-7,6030251393";"-46,0527519647";"(99) 3541-3048";;"dalfas.m@fazenda.org.br";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Premeni";"Travessa";"São Pedro";"s/n";"Próximo a Igreja Nazaré";"Nazaré";"65800-000";"Maranhão";"Balsas - Maranhão";"-7,5415958024";"-46,0383753244";"(99) 3541-2138";;"coroata.f@fazenda.org.br";"Adolescentes - Adultos - Idosos";"Não";;"Feminino - Masculino";"Voluntária - Compulsória";;
"Fazenda da Esperança São José";"Travessa";"Oscar Jansen";158;"Ao lado da Sec. de Saúde";"Centro";"65415-000";"Maranhão";"Coroatá - Maranhão";"-4,1254565901";"-44,1301235146";"(99) 3641-1450";"(99) 3641-1459";"coroata.m@fazenda.org.br";"Crianças - Adolescentes - Adultos";"Não";;"Masculino";"Voluntária - Compulsória";;
"Obra social Nossa Senhora da Glória Fazenda da Esperança Santo Agostinho";"Travessa";"Oscar Jansen";158;;"Centro";"65415-000";"Maranhão";"Coroatá - Maranhão";"-4,1261414561";"-44,1297801919";"(99) 3641-1459";"(99) 3641-0976";"coroata.m@fazenda.org.br";"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Obra Social Nossa Senhora da Glória Fazenda Da Esperança Madre Teresa de Calcutá";"Rua";"Do Escondido";156;"Travessa da Subestação";"Cajueiro";"65415-000";"Maranhão";"Coroatá - Maranhão";"-4,1436053408";"-44,1215404458";"(99) 3641-0791";;"coroata.f@fazenda.org.br";"Adultos - Idosos";"Não";;"Feminino";"Voluntária - Compulsória";;
"Centro Terapeutico Casa de Davi";"Rua";"Gonçalves Dias";"S/n";;"Vila Machado";"65500-210";"Maranhão";"Imperatriz - Maranhão";"-";"-";"(99) 9145-7904";;"casa_dedavi@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Centro TerapeuticoEsperança-CETE.";"Rua";"Tiradentes";581;;"São José";"65900-370";"Maranhão";"Imperatriz - Maranhão";"-";"-";"(99) 8889-9836";;;"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"PROMIC- Projeto Missão Criança";"Rua";"Rio Grande do Norte";191;;"Juçara";"65900-520";"Maranhão";"Imperatriz - Maranhão";"-5,5033804";"-47,4937052";"(99) 9118-7387";;"promic18@gmail.com.br";"Crianças - Adolescentes";"Não";;"Masculino";"Voluntária - Compulsória";;
"Projeto Cristo Liberte";"Rua";"Urbano Santos";1337;;"Juçara";"65500-170";"Maranhão";"Imperatriz - Maranhão";"-5,5161954";"-47,4739147";"(99) 3525-4761";"(99) 9118-7087";;"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Projeto Cristo Liberte";"Estrada";"MA-280";"s/n";;"zona rural";"65936-000";"Maranhão";"Montes Altos - Maranhão";"-5,8452";"-47,0493659";"(99) 3527-4761";"(99) 9118-7087";;"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Casa de Davi";"Rodovia";135;"S/N";"Chacára";"Povoado limão";"65470-000";"Maranhão";"São Mateus do Maranhão - Maranhão";"-4,0353838115";"-44,473524047";"(99) 8161-4200";"(99) 8137-0846";;"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Escritório da Casa de Davi e da Casa de Debora";"Rua";"Amazonas";10;;"Centro";"65470-000";"Maranhão";"São Mateus do Maranhão - Maranhão";"-4,0477126948";"-44,4680308829";"(99) 8132-8394";;;"Adolescentes - Adultos - Idosos";"Não";;"Feminino";"Voluntária";;
"Fazenda da Paz - Terra da Esperança";"Avenida";"Tiúba";"S/N";"Km 14";"Tiúba";"65634-400";"Maranhão";"Timon - Maranhão";"-5,1131263858";"-42,8303947344";"(86) 9487-0475";;"fazendadapaz@hotmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Betesda";"Parque";"Povoado";"S/N";"Povoado Gameleira";"Zona Rural";"65602-060";"Maranhão";"Timon - Maranhão";"-5,0226511496";"-42,9678150311";"(86) 3233-8649";;"cpbetesda@hotmail.com";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Fazenda da Paz: Comunidade Flôr de Maria";"Fazenda";"Fazenda da Paz Flôr de Maria";"S/N";;"Zona Rural de Timon-Maranhão";"64000-000";"Maranhão";"Timon - Maranhão";"-5,0117069154";"-43,0117603436";"(86) 9449-5204";;"fazendadapaz@hotmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Obra social Nossa Senhora da Glória Fazenda da Esperança Bento XVI";"Rodovia";"MT-419";"s/n";"caixa postal 534";"Matupã";"78580-000";"Mato Grosso";"Alta Floresta - Mato Grosso";"-9,8975334721";"-56,1004326796";"(66) 9217-4781";"(66) 9637-1172";"altafloresta.m@fazenda.org.br";"Adultos - Idosos";"Sim";"homossexual- HIV";"Masculino";"Voluntária";;
"Comunidade Terapêutica Márcio Antônio Martins";"Distrito";"do Quatro Marcos";"s/n";"Antiga Escola Municipal";"Zona Rural";"78390-000";"Mato Grosso";"Barra do Bugres - Mato Grosso";"-15,1024732427";"-57,1603873293";"(65) 3361-3895";;;"Adultos - Idosos";"Não";;"Masculino";"Voluntária - Involuntária";;
"Comunidade Terapêutica Márcio Antônio Martins";"Avenida";"Xavantes";658;;"Maracanã";"78390-000";"Mato Grosso";"Barra do Bugres - Mato Grosso";"-15,0708159901";"-57,1705153505";"(65) 3361-3895";;;;;;;;;
"Comunidade Assistencial Terapêutica Casa de Davi";"Rua";"dos Lírios";434;;"Morada do Sol";"78600-000";"Mato Grosso";"Barra do Garças - Mato Grosso";"-15,8769236";"-52,231673";"(66) 3405-1974";;;"Adultos";"Não";;"Masculino";"Voluntária";;
"Centro de Recuperação Renascendo em Cristo - ABENE";"Chácara";"Samaritano";"s/n";;"Lobo Bom Jardim";"78200-000";"Mato Grosso";"Cáceres - Mato Grosso";"-16,0865805272";"-57,6435843014";"(65) 3223-8249";;;"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Resgate Vidas";"Avenida";"Porto Alegre";900;;"Campo Real";"78640-000";"Mato Grosso";"Campo Verde - Mato Grosso";"-15,5457119972";"-55,1726074629";"(66) 3419-2501";"(66) 9953-7835";"vanderribeiromarques@ig.com.br";"Adultos";"Sim";"homossexual e portadores de hiv";"Masculino";"Voluntária";;
"Moriáh centro de recuperação";"Rua";"Generosa A.Neto";"s/n";"condomínio bom clima";"Bom clima";"78195-000";"Mato Grosso";"Chapada dos Guimarães - Mato Grosso";"-15,4422642541";"-55,7459208105";"(65) 3301-3075";"(65) 9626-2263";"juliornneto@hotmail.com";"Adultos";"Sim";"homossexual- HIV";"Masculino";"Voluntária - Involuntária";;
"Centro de Tratamento Vida Serena Premier - Unidade Masculina Adulto";"Rua";"Bororo";18;;"Santa Cruz";"78055-404";"Mato Grosso";"Chapada dos Guimarães - Mato Grosso";"-15,4444966757";"-55,7403751928";"(65) 3301-2690";"(65) 9975-7535";"vidaserenapremier@yahoo.com.br";"Adultos";"Sim";"homossexuais e HIV em trtatamento";"Masculino";"Voluntária - Involuntária - Compulsória";;
"Centro de Tratamento Vida Serena Premier - Unidade Adolescente";"Rua";"Projetada";12;;"Santa Cruz";"78125-000";"Mato Grosso";"Chapada dos Guimarães - Mato Grosso";"-15,4395327415";"-55,7218357641";"(65) 3301-2690";"(65) 9975-7535";"vidaserenapremier@yahoo.com.br";"Adolescentes";"Sim";"Homosexuais eHIV em tratamento";"Masculino";"Voluntária - Involuntária - Compulsória";;
"centro de tranformação manasses";"Rua";"marambaia";13;;"pedregal";"78060-560";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,5990374";"-56,0727755";"(65) 3653-8570";;;"Adultos";"Não";;"Masculino";"Voluntária";;
"Casa de Recuperação Feminina Menina dos Olhos de Deus";"Estrada";"Rio dos Couros";"Quadra 12";"Chácara 02 - Cinturão Verde";"Pedra Noventa";"78005-970";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,6309319484";"-55,9577204281";"(65) 9264-3787";"(65) 9944-2104";"meninadosolhos_dedeus@live.com.br";"Adultos";"Sim";"homossexual e portadores de hiv";"Feminino";;;
"Comunidade Terapêutica Valor da Vida";"Estrada";"Velha da Guia";"s/n";"Estância São Benedito";"Sucuri 2";"78048-745";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,5434235246";"-56,123234182";"(65) 3025-4210";"(65) 9227-6081";"andersonmichel19@gmail.com";"Adultos";"Sim";"homosexual - hiv";"Feminino - Masculino";"Voluntária";;
"Limiar Comunidade Terapêutica";"Estrada";"Velha da Guia";"s/n";;"Sucuri";"78042-000";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,543366674";"-56,1232449109";"(65) 3626-5572";"(65) 9982-1736";"clinicalimiar@gmail.com";"Adultos";"Não";;"Masculino";"Voluntária - Compulsória";;
"Lar Cristão - Unidade Rondonópolis";"Rua";3;"s/n";"Quadra 9 Setor 2";"CPA III";"78000-000";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,5747716122";"-56,0440553719";"(65) 3646-7086";"(65) 9232-5642";"teodoricobarbosa@hotmail.com";"Adultos";"Sim";"homosexual- hiv";"Masculino";"Voluntária";;
"Lar Cristão - Unidade Mirassol D`Oeste";"Rua";3;"s/n";"Setor 2";"CPA III";"78005-970";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,310759075";"-56,0973105849";"(65) 3646-7086";"(65) 9232-5642";"teodoricobarbosa@hotmail.com";"Adultos";"Sim";"homossexual- HIV";"Masculino";"Voluntária";;
"Lar Cristão - Unidade Barra da Garça";"Rua";3;"s/n";"Setor 2";"CPA III";"78005-970";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,5747716122";"-56,0440661008";"(65) 3646-7086";"(65) 9232-5642";"teodoricobarbosa@hotmail.com";"Adultos";"Sim";"homossexual- HIV";"Masculino";"Voluntária";;
"Lar Cristão - Unidade Alto Araguaia";"Rua";3;"s/n";"Setor 2";"CPA III";"78005-970";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,5750609887";"-56,0438729817";"(65) 3646-7086";"(65) 9232-5642";"teodoricobarbosa@hotmail.com";"Adultos";"Sim";"homossexual- HIV";"Masculino";"Voluntária";;
"Lar Cristão - Unidade Poconé";"Rua";3;"s/n";"Setor 2";"CPA III";"78005-970";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,5747096029";"-56,0440661008";"(65) 3646-7086";"(65) 9232-5642";"teodoricobarbosa@hotmail.com";"Adultos";"Sim";"homossexual- HIV";"Masculino";"Voluntária";;
"Lar Cristão Feminino";"Rua";67;"Casa 17";"CPA III";"Morada da Serra";"78005-970";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,5899178641";"-56,0326291615";"(65) 3027-7081";"(65) 9642-5799";"irmabia_NERIS@HOTMAIL.COM";"Adolescentes - Adultos";"Sim";"homossexual";"Feminino";"Voluntária";;
"Casa de Recuperação Vau de Jaboque";"Estrada";"Rio dos Couros";"km 2";"perto da Pedra 90";"Cinturão Verde";"78005-970";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,6118084922";"-55,9471417958";"(65) 8132-5848";"(65) 9642-5481";"v.dejaboque@hotmail.com";"Adultos";"Sim";"homosexual- hiv";"Masculino";"Voluntária";;
"Centro de Recuperação Resgatando Vidas";"Rua";"Ouro Preto";727;;"Ouro Fino";"78055-676";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,5521214696";"-56,0471560055";"(65) 9928-3920";"(65) 3649-6189";"Reinaldovidas@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Tempo de Vencer";"Rua";"Jundiaí";"Casa 09";"quadra os";"CPA II";"78055-270";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,5540284566";"-56,0488404328";"(65) 3054-3319";"(65) 9259-5776";"eltoncoutinhop@hotmail.com";"Adultos";"Sim";"homossexual e portadores de hiv";"Masculino";"Voluntária";;
"Centro Terapêutico Paraíso - ATAP";"Estrada";"do Manso";"s/n";"km 14";"area rural";"78000-000";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,3719429756";"-55,9722043568";"(65) 9957-2007";"(65) 9234-1101";"c.t.paraiso@gmail.com";"Adultos";"Sim";"desde que esteja com exames em dia";"Masculino";"Voluntária";;
"associação casa de recuperação filhos do rei";"Chácara";"estancia colina verde";33;"jardim liberdade";"coxipó - zona rural";"78005-970";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,6545000755";"-56,0306550557";"(65) 9905-0830";"(65) 9903-6127";;"Adolescentes - Adultos - Idosos";"Sim";"homossexual";"Masculino";"Voluntária";;
"associação resgatando cidadania-arc";"Praça";"do Rosário";"s/n";"Igreja São Benedito";"Centro";"78008-045";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,589917854";"-56,0664121289";"(65) 9981-8066";"(65) 9613-6262";"pedrocamisio@uol.com.br";"Adultos";"Sim";"homosexual";"Masculino";"Voluntária";;
"Valorizando a Vida";"Rua";"das Chácaras";"s/n";"Estrada de Santo Antônio";"parque nova esperança";"78005-970";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,5952088355";"-56,0216428334";"(65) 9631-2255";"(65) 8402-4871";"valorizandovida@hotmail.com";"Adultos";"Sim";"homossexual e portadores de hiv";"Masculino";"Voluntária";;
"Associação de intervenção e reabilitação de dependentes quimicos Liberdade";"Rua";"General Carneiro";"quadra 17";"casa 10 - CPA II";"Morada da Serra";"78055-384";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,5675990785";"-56,0503102833";"(65) 9601-8126";"(65) 9601-5406";"centrodereabilitação_liberdade@hotmail.com";"Adultos";"Sim";"homosexual- hiv";"Masculino";"Voluntária";;
"Associação Casa de Recuperação BETEL - CERBET";"Avenida";"Principal";24;"quadra 03";"Novo Milênio";"78005-970";"Mato Grosso";"Cuiabá - Mato Grosso";"-15,6136079";"-56,007942";"(65) 9231-8618";"(65) 9606-1400";"cerbet@gmail.com";"Adultos";"Sim";"homossexual- HIV";"Masculino";"Voluntária";;
"Vida Serena";"Sítio";"Bom Jesus";"s/n";"Caixa Postal 11";"Zona Rural";"78810-000";"Mato Grosso";"Juscimeira - Mato Grosso";"-16,3218406616";"-54,9802111242";"(66) 3421-1241";"(66) 9688-4209";"emerson_sandro@hotmail.com";"Adultos";"Sim";"homosexual- hiv";"Masculino";"Voluntária";;
"ATPS-Associação Terapêutica Portal da Sobriedade";"Rua";"Guarapuava";189;"Caixa postal 41 - Paroquia senh. do rosario Fátima";"Pioneiro";"78455-000";"Mato Grosso";"Lucas do Rio Verde - Mato Grosso";"-13,1762286515";"-56,046030994";"(65) 8405-9848";;"ideiva.foletto@terra.com.br";"Adolescentes";"Não";;"Masculino";"Voluntária";;
"Casa de Recuperação Vau de Jaboque - Unidade Paranatinga";"Rua";"João Pessoa";"s/n";"Esquina Piauí";"Vila Concórdia";"78870-000";"Mato Grosso";"Paranatinga - Mato Grosso";"-14,1500780714";"-54,2799516241";"(66) 3573-2080";;"v.dejaboque@hotmail.com";"Adultos";"Sim";"homosexual- hiv";"Masculino";"Voluntária";;
"Fundação CEFA - Caridade, Esperança, Fé e Amor";"Rodovia";"Poxoréo a Dom Aquino";"s/n";;"km 12";"78800-000";"Mato Grosso";"Poxoréo - Mato Grosso";"-15,8300113275";"-54,3775889211";"(66) 9631-7501";"(66) 3436-2567";;"Adultos";"Não";;"Masculino";"Voluntária";;
"associação divina providencia";"Avenida";"ary coelho";"s/n";"igreja";"vila birigui";"78705-050";"Mato Grosso";"Rondonópolis - Mato Grosso";"-16,4614315";"-54,646868";"(65) 3421-7662";"(66) 8422-2293";"adivinaprovidencia@hotmail.com";"Adultos";"Sim";"hono-hiv";"Masculino";"Voluntária";;
"Sociedade Beneficente Nossa Senhora de Fátima - Casa Esperança";"Rua";"quinze de novembro";350;;"Centro";"78700-030";"Mato Grosso";"Rondonópolis - Mato Grosso";"-16,4753428691";"-54,6361255929";"(66) 3421-3931";"(66) 9999-4350";"contato@casaesp.com.br";"Adultos";"Sim";"portadores de hiv e homossexual";"Masculino";"Voluntária";;
"Casa da Libertação";"Avenida";"Tiradentes";1558;;"Centro";"78700-970";"Mato Grosso";"Rondonópolis - Mato Grosso";"-16,4701433045";"-54,6374323051";"(66) 9203-3240";"(66) 9603-3240";"bispoasturio@hotmail.com";"Adolescentes - Adultos";"Sim";"homossexual e portadores de hiv";"Masculino";"Voluntária";;
"Comunidade Terapêutica Lar Cristão";"Estrada";35;"s/n";"assentamento Santana da água limpa";"assentamento";"78435-000";"Mato Grosso";"São José do Rio Claro - Mato Grosso";"-13,4516051165";"-56,7075918265";"(65) 3646-7086";"(65) 9232-5642";"teodoricobarbosa@hotmail.com";"Adultos";"Sim";"homosexual- hiv";"Masculino";"Voluntária - Compulsória";;
"Assistência Social Beneficente Evangélica - Centro de Recuperação Ebenézer";"Rua";"das Castanheiras";84;;"Centro";"78555-000";"Mato Grosso";"Sinop - Mato Grosso";"-11,8559917";"-55,4983593";"(66) 3532-2693";"(66) 9652-7115";"crebenezer@hotmail.com";;;;;;;
"Assistência Social Beneficente Evangélica - Centro de Recuperação Ebenézer";"Rodovia";"MT-220";"s/n";"km 12";"Sentido Ajuara";"78550-000";"Mato Grosso";"Sinop - Mato Grosso";"-11,6647565358";"-55,6051610988";"(66) 3532-2693";"(66) 9906-1797";"crebenezer@hotmail.com";"Adultos";"Sim";"apenados";"Masculino";"Voluntária - Compulsória";;
"Comunidade Terapêutica Renascer";"Estrada";"D";"lote 54";"loteamento gleba";"zona rural";"78890-000";"Mato Grosso";"Sorriso - Mato Grosso";"-12,5528270123";"-55,7221442464";"(66) 8404-2752";"(66) 9669-8900";"rejane_sorriso@hotmail.com";"Adultos";"Sim";"homossexual e portadores de hiv";"Masculino";"Voluntária";;
"Casa de Sara - Serviço de Apoio e Recuperação de Adictos";"Avenida";"Brasil";1139;;"Nobre";"78890-000";"Mato Grosso";"Sorriso - Mato Grosso";"-12,5386972927";"-55,7258886102";"(66) 3554-0331";"(66) 9249-9289";"casadesarasorriso@hotmail.com";"Adolescentes - Adultos";"Sim";"homossexual e portadores de hiv";"Feminino";"Voluntária";;
"associação dos voluntários da casa terapêutica viver sóbrio";"Rua";"Francisco Serrano";4155;;"distrito de progresso";"78300-000";"Mato Grosso";"Tangará da Serra - Mato Grosso";"-14,6582184";"-57,3609647";"(65) 3325-0057";"(65) 9926-6873";"ruthbrandao@hotmail.com";"Adolescentes - Adultos";"Sim";"homossexuais";"Masculino";"Voluntária";;
"Comunidade Terapêutica Nascer de Novo - Unidade Adulto Masculino";"Rodovia";"MT-358";"s/n";"zona rural";"Alto da Serra";"78300-000";"Mato Grosso";"Tangará da Serra - Mato Grosso";"-14,617795629";"-57,595110479";"(65) 8429-2747";"(65) 9924-3367";"comunidadeterapeuticanascerdenovo@hotmail.com";"Adolescentes - Adultos";"Sim";"homossexuais e HIV em trtatamento";"Masculino";"Voluntária - Involuntária";;
"Associação de Voluntários da Casa Terapêutica Nova Vida";"Rodovia";"MT-480";"s/n";"km 10 zona rural";"s/b";"78300-000";"Mato Grosso";"Tangará da Serra - Mato Grosso";"-14,1075345944";"-58,7071328789";"(65) 3326-1607";"(65) 9638-3654";"marcelopalma74@gmail.com";"Adultos";"Sim";"homossexual- HIV";"Masculino";"Voluntária";;
"Associação dos Voluntarios da Casa Terapêutica Vida e Sobriedade";"Rodovia";"MT-358";"km04";;"Jardim aeroporto";"78300-000";"Mato Grosso";"Tangará da Serra - Mato Grosso";"-14,6548338834";"-57,44688088";"(65) 3325-0057";"(65) 9926-6873";"ruthbrandao-@hotmail.com";"Adolescentes - Adultos";"Sim";"Homossexuais";"Feminino";"Voluntária";;
"Casa de Recuperação Salvando Vidas";"Chácara";"Agrovila";26;"Assentamento Antonio Conselheiro";"antonio conselheiro";"78300-000";"Mato Grosso";"Tangará da Serra - Mato Grosso";"-14,6031779169";"-57,6701265007";"(65) 3329-1952";"(65) 9604-9852";"salvandovidastga@gmail.com";"Adultos";"Sim";"Homossexuais";"Masculino";"Voluntária - Involuntária";;
"Lar Vidas Iluminadas";"Estrada";"Guarita Passagem da Conceição";"sn";"Antiga Escola Sarita Baracat";"Zona Rural";"78110-970";"Mato Grosso";"Várzea Grande - Mato Grosso";"-15,5887772";"-56,1447283";"(65) 9943-5823";"(65) 9966-4986";"shekinah2008@hotmail.com";"Adultos";"Sim";"homo sexuais";"Masculino";"Voluntária";;
"Vida Serena";"Avenida";"Marechal Rondon";555;;"Ipase";"78110-185";"Mato Grosso";"Várzea Grande - Mato Grosso";"-15,6618022129";"-56,1227482053";"(65) 9909-7470";"(65) 8414-0866";"gilcidegas@yahoo.com.br";"Adolescentes - Adultos";"Sim";"homosexual- hiv";"Masculino";"Voluntária";;
"Casa de Recuperação Monte Sinai";"Rua";"Cuiabá";1;;"13 de setembro";"78165-900";"Mato Grosso";"Várzea Grande - Mato Grosso";"-15,7387034186";"-56,159971902";"(65) 9928-7752";"(65) 9233-5340";"casamontesinai@r7.com";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária - Involuntária - Compulsória";;
"Comunidade Terapêutica Cristo Rei";"Rua";"Deputado Emanuel Pinheiro";546;;"Cristo Rei";"78118-015";"Mato Grosso";"Várzea Grande - Mato Grosso";"-15,6459748";"-56,1060577";"(65) 3685-2217";"(65) 9669-4999";"adv.francisco.paula@hotmail.com";"Adultos";"Sim";"hivhomossexual";"Masculino";"Voluntária";;
"Associação Matogrossense Sobriedade e Vida - Bom Pastor";"Rua";1;"s/n";;"24 de dezembro";"78110-970";"Mato Grosso";"Várzea Grande - Mato Grosso";"-15,7208789287";"-56,1421995851";"(65) 9975-9775";"(65) 3026-3092";"vidasobriedade@hotmail.com";"Adultos";"Sim";"ambulatorial:criançasadolecentes";"Masculino";"Voluntária";;
"Ministério de Recuperação Missão Jeruel - Desafio Jovem Jeruel";"Avenida";"Mineirão";"casa 01";"Quadra 30";"Jardim Maringá 01";"78120-600";"Mato Grosso";"Várzea Grande - Mato Grosso";"-15,6654645";"-56,0870071";"(65) 3691-4546";"(65) 8403-9084";"cleritonandrade@hotmail.com";"Adultos";"Sim";"homossexual e portadores de hiv";"Masculino";"Voluntária";;
"Instituto Brasil Criança";"Avenida";"Principal";50;"Estância dos Milagres";"Souza Lima";"78110-000";"Mato Grosso";"Várzea Grande - Mato Grosso";"-15,727519405";"-56,1394637319";"(65) 9219-5205";"(65) 9957-2880";"silvanabrunini@hotmail.com";"Adultos";"Sim";"homossexual e portadores de hiv";"Masculino";"Voluntária";;
"Comunidade Terapêutica Desafio Jovem Peniel";"Rua";"Carlos Gomes";52;;"jardim Pampulha";"78110-700";"Mato Grosso";"Várzea Grande - Mato Grosso";"-15,6411350128";"-56,1290728541";"(66) 3682-1430";"(65) 9266-1510";"penielcta@hotmail.com";"Adultos";"Sim";"homossexual e portadores de hiv";"Masculino";"Voluntária";;
"Organização Social Civil de Interesse Público Casa de Recuperação Dependentes Químicos Raiz de Jessé";"Estrada";"da Guarita";"s/n";"km 46";"Guarita";"78140-000";"Mato Grosso";"Várzea Grande - Mato Grosso";"-15,6041550957";"-56,1456435414";"(65) 3625-3867";"(65) 9932-1497";"raizdejessecrdquimico@gmail.com";"Adolescentes - Adultos";"Sim";"homossexual";"Masculino";"Voluntária";;
"Organização Social Civil de Interesse Público Casa de Recuperação Dependentes Químicos Raiz de Jessé";"Alameda";"Amália Curvo de Campos";"s/n";;"Jardim Potiguar";"78110-970";"Mato Grosso";"Várzea Grande - Mato Grosso";"-15,6330865855";"-56,1269753667";"(65) 3625-3867";"(65) 9673-9800";"raizdejessecrdquimico@gmail.com";"Adolescentes - Adultos";"Sim";"homossexual";"Feminino";"Voluntária";;
"Associação de Reabilitação Parceiros da vida";"Rua";"Maracajú";898;;"centro";"79002-212";"Mato Grosso do Sul";"Campo Grande - Mato Grosso do Sul";"-20,4578537";"-54,6127803";"(67) 3029-0328";;"contato@esquadraodavidabr.com";"Adolescentes - Adultos";"Não";;"Feminino - Masculino";"Voluntária - Compulsória";;
"Associação de Reabilitação Parceiros da vida";"Estrada";"EW";7;;"Chácara dos poderes";"79037-811";"Mato Grosso do Sul";"Campo Grande - Mato Grosso do Sul";"-20,4474824";"-54,5326291";"(67) 9278-4125";;;"Adolescentes - Adultos";"Não";;"Feminino - Masculino";"Voluntária - Compulsória";;
"Obra Social Nossa Senhora da Graça Fazenda da Esperança N. SRA. da Abadia";"Rua";"Amando de Oliveira";441;"anexo b";"amambaí";"79008-010";"Mato Grosso do Sul";"Campo Grande - Mato Grosso do Sul";"-20,4669871";"-54,6327741";"(67) 3383-0400";;"fazendadaesperancacampogrande@hotmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Feminino";"Voluntária";;
"Obra Social Nossa Senhora da Graça Fazenda da Esperança N. SRA. da Abadia";"Avenida";"tamandaré";"SN";"rodovia estadual MS010";"Vila Neusa";"79117-010";"Mato Grosso do Sul";"Campo Grande - Mato Grosso do Sul";"-20,4332303";"-54,627385";"(67) 3383-0400";;"fazendadaesperancacampogrande@hotmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Feminino";"Voluntária";;
